rank,username,user_slug,country_code,country_name,score,finish_time,data_region,contest_id,problem_4045_date,problem_4045_fail_count,problem_4045_lang,problem_4045_submission_id,problem_4080_date,problem_4080_fail_count,problem_4080_lang,problem_4080_submission_id
3875,Keshav,keshav_78,IN,India,7,1760841672,US,1222,1760841672,0,cpp,1805469652,1760841359,0,cpp,1805459686
3876,G Jaganmohan Achary,incerty,,,7,1760841672,US,1222,1760841672,0,java,1805469657,1760841260,0,java,1805456389
3877,sahil_sukhdeve,sahilsukhdeve15,IN,India,7,1760841672,US,1222,1760841672,0,java,1805469663,1760841260,0,java,1805456397
3878,rautelaprakashsingh010,rautelaprakashsingh010,,,7,1760841673,US,1222,1760841673,0,cpp,1805469684,1760841228,0,cpp,1805455304
3879,dammit_12,dammit_12,,,7,1760841674,US,1222,1760841674,0,cpp,1805469699,1760841150,0,cpp,1805452533
3880,sreejaaddala25,sreejaaddala25,IN,India,7,1760841674,US,1222,1760841674,0,python3,1805469709,1760841287,0,python3,1805457289
3881,Lloyd,nithin493,IN,India,7,1760841674,US,1222,1760841374,0,python3,1805460196,1760841156,1,python3,1805452759
3882,leetcodespam,leetcodespam,,,7,1760841675,US,1222,1760841675,0,cpp,1805469730,1760841156,0,cpp,1805452741
3883,Pankaj_Kansal123,Pankaj_Kansal123,,,7,1760841675,US,1222,1760841675,0,java,1805469733,1760841277,0,java,1805456931
3884,Gitansh Shekhar,_gitansh_,IN,India,7,1760841675,US,1222,1760841675,0,java,1805469734,1760841195,0,java,1805454125
3885,Shivam Bhatia,bhatia4404,,,7,1760841675,US,1222,1760841675,0,cpp,1805469740,1760841186,0,cpp,1805453795
3886,Mohammad Arman,arman_lc,IN,India,7,1760841675,US,1222,1760841675,0,cpp,1805469744,1760841388,0,cpp,1805460678
3887,Aditya Raj,adityarajk,,,7,1760841675,US,1222,1760841675,0,cpp,1805469749,1760841423,0,cpp,1805461831
3888,Madhusudan,madhusudan329832,,,7,1760841675,US,1222,1760841675,0,cpp,1805469752,1760841154,0,cpp,1805452678
3889,Nitin Valmik Gayke,Nitin_Gayke,IN,India,7,1760841676,US,1222,1760841676,0,java,1805469764,1760841139,0,java,1805452108
3890,Ayush,ayush_3010,IN,India,7,1760841676,US,1222,1760841676,0,cpp,1805469785,1760841256,0,cpp,1805456283
3891,Arnab Kundu,Arnab_45,IN,India,7,1760841677,US,1222,1760841677,0,java,1805469793,1760841270,0,java,1805456691
3892,Dedeepya Adapala,Dedeepya_Adapala,IN,India,7,1760841677,US,1222,1760841377,0,java,1805460255,1760841137,1,java,1805452056
3893,Sahil Chhoker,Sahil-Chhoker,IN,India,7,1760841677,US,1222,1760841377,1,python3,1805460260,1760841142,0,python3,1805452193
3894,Nandit Kalaria,23IT065,IN,India,7,1760841677,US,1222,1760841677,0,java,1805469804,1760841332,0,java,1805458809
3895,Saketh Karumudi,sakethkarumudi,,,7,1760841677,US,1222,1760841677,0,cpp,1805469812,1760841446,0,cpp,1805462660
3896,chetan_1411,chetan_1411,,,7,1760841677,US,1222,1760841677,0,python3,1805469818,1760841323,0,python3,1805458512
3897,Madhav Agarwal,madhav353,,,7,1760841678,US,1222,1760841678,0,java,1805469822,1760841149,0,java,1805452520
3898,GEYA_3wXEJcI,GEYA_3,IN,India,7,1760841678,US,1222,1760841678,0,python3,1805469835,1760841091,0,python3,1805450721
3899,RayTracing,0xSatoshi,US,United States,7,1760841678,US,1222,1760841678,0,cpp,1805469847,1760841460,0,cpp,1805463107
3900,Shiva Reddy,shivareddy00005,IN,India,7,1760841680,US,1222,1760841680,0,cpp,1805469882,1760841417,0,cpp,1805461643
3901,Krishnesh Tiwari,Krishnesh_2004,IN,India,7,1760841680,US,1222,1760841680,0,cpp,1805469908,1760841380,0,cpp,1805460394
3902,padmasalikanishka,padmasalikanishka,,,7,1760841681,US,1222,1760841681,0,python3,1805469912,1760841170,0,python3,1805453236
3903,Sahanajr,Sahanajr,,,7,1760841681,US,1222,1760841681,0,java,1805469917,1760841239,0,java,1805455702
3904,Nhan Ho,hdnhan,VN,Vietnam,7,1760841681,US,1222,1760841681,0,cpp,1805469919,1760841300,0,cpp,1805457744
3905,q56597944,k56597944,CA,Canada,7,1760841681,US,1222,1760841381,0,python3,1805460411,1760841188,1,python3,1805453896
3906,PJYasuna,pjyasuna,,,7,1760841681,CN,1265,1760841681,0,cpp,671747279,1760841177,0,cpp,671744668
3907,Shrey Vijay,shreyvijay2004,IN,India,7,1760841681,US,1222,1760841681,0,cpp,1805469941,1760841314,0,cpp,1805458231
3908,Chetan,Chetan_496_,IN,India,7,1760841682,US,1222,1760841682,0,cpp,1805469944,1760841165,0,cpp,1805453041
