user_slug,username,school
Altair_45,Altair_45,
curr_prev,curr_prev,
8rRuZi1rZY,8rRuZi1rZY,
Naruto_x,Naruto_x,
pookiecoder26,pookiecoder26,
Lily_mills,Lily_mills,
shivamsjsjsjsjsjsjsjsjsjsjsj,shivamsjsjsjsjsjsjsjsjsjsjsj,
kookiee1201,kookiee1201,
lucifer1006,lucifer1006,
Kude,Kude,
gao-jian-bin,gao-jian-bin,
W0HPxvo1To,W0HPxvo1To,
pku_erutan,pku_erutan,Peking University
manish_217023,manish_217023,
hanifasepthi,hanifasepthi,Telkom University
kzyKT,kzyKT,
wFNFId9Vjq,wFNFId9Vjq,
harshh9,deleted_user,KIIT University
bhawnapannu2706,bhawnapannu2706,Chandigarh University
rahulsatav5062,rahulsatav5062,
hopeful-gaussgrf,,
Harsh2615,Harsh2615,
kmjp,kmjp,
ama2ing-kilbyvyl,,
the_og1900,the_og1900,
milesian-c,,
Algo-Messihas,Algo-Messihas,NIT Kurukshetra
khaledlabeb552,khaledlabeb552,
leetgoat_dot_dev,leetgoat_dot_dev,University of California--Berkeley
w285714,,
thor_77,thor_77,
krism,KrisM,
awice,awice,
shnirelman,shnirelman,
dom27,dom27,
void---,void---,
cuiaoxiang,cuiaoxiang,
cranky-6agarinizj,,
pk8pPojgum,pk8pPojgum,
mbfibat,mbfibat,
Axoryn,Axoryn,
AgneyK,AgneyK,
Manav_Mishra_108,Manav_Mishra_108,
ming1ning,,
linkzelda-s,,
SaiRoshini_M,SaiRoshini_M,
aryaejoumalai,aryaejoumalai,
Amrharb,Amrharb,Minya University
kashsuks,kashsuks,
balakrishnan_v,balakrishnan_v,
marekjumbojet,marekjumbojet,
tsreaper,tsreaper,
gopher0727,,
subhra_29,subhra_29,
truongcongthanh2000,truongcongthanh2000,Ho Chi Minh City University of Technology
ShifaMac,ShifaMac,
Maruzensky,Maruzensky,
man-ray,man-ray,
sudarsanamahanta,sudarsanamahanta,
rahul_samant_37,rahul_samant_37,
upbeat-dewdneysxp,,
vinaythipparthi,vinaythipparthi,Nalla Malla Reddy Engineering College
sriley_prime,sriley_prime,
MainFrameKuznetSov,MainFrameKuznetSov,"Institute of Engineering & Management, Kolkata"
981377660lmt,981377660LMT,
serene-torvalds38a,,
chunk1,chunk1,
zanj0,zanj0,Amity University
nimeshgoyal,nimeshgoyal,
VitVelloreCoder,VitVelloreCoder,
pasricha_dhruv,pasricha_dhruv,
pinker-6,,
EE23B179,EE23B179,
invertedwinger,invertedwinger,
cache_clear,cache_clear,
quiz2ical-nash7ll,,
sunnynguyenai,sunnynguyenai,
Snandini_,Snandini_,"IIT(BHU), Varanasi"
tonghuikang,tonghuikang,Singapore University of Technology and Design
pwyq,deleted_user,University of Waterloo
fatalerror-i,,
abdullahElkhteeb2002,abdullahElkhteeb2002,
itish123,itish123,
gracious-pasteur9cp,,
han90,,
Pranjali22,Pranjali22,
Sandeep_P,Sandeep_P,
contest999,contest999,
HSB1107,HSB1107,
peteza103,peteza103,
ml-terminator,ml-terminator,
tin_le,tin_le,
Salmon2653,Salmon2653,
gooday-3,,
Turgali,Turgali,
HumbleRobo,HumbleRobo,National Sun Yat-sen University
dekoding,dekoding,University of Texas at San Antonio
Joydip_123,Joydip_123,
wei-she-ming,,
Reddi-twelve,Reddi-twelve,
freeyourmind,freeyourmind,
